# RQD de Deere: porcentaje del metraje en tramos continuos de 10 cm o más sin discontinuidad, con la discontinuidad detectada por DI > 1.5.
# Indicador AGREGADO por pozo y por caserón, orientado a tronadura. No reemplaza al DI, que sigue siendo la variable de trabajo punto a punto en el resto del pipeline.
# pozos no evaluables: 3
# generado: 2026-08-26 04:24
nivel,clave,caseron,rqd_mwd,largo_m,n_tramos_validos,n_tramos_descartados
pozo,PCS_1043_PR01_TH_P22_H11,PCS_1043,88.83,30.721,18.0,2.0
pozo,PCS_1043_PR01_TH_P22_H12,PCS_1043,87.83,19.185,12.0,0.0
pozo,PCS_1043_PR01_TH_P22_H13,PCS_1043,83.65,26.045,9.0,0.0
pozo,PCS_1043_PR01_TH_P22_H14,PCS_1043,88.39,18.406,8.0,5.0
pozo,PCS_1043_PR01_TH_P22_H15,PCS_1043,88.31,11.741,5.0,0.0
pozo,PCS_1043_PR01_TH_P22_H16,PCS_1043,86.74,7.655,5.0,1.0
pozo,PCS_1043_PR01_TH_P22_H1,PCS_1043,91.77,22.095,8.0,3.0
pozo,PCS_1043_PR01_TH_P22_H2,PCS_1043,90.12,24.509,11.0,0.0
pozo,PCS_1043_PR01_TH_P22_H3,PCS_1043,89.02,28.059,14.0,2.0
pozo,PCS_1043_PR01_TH_P22_H4,PCS_1043,90.9,32.939,10.0,2.0
pozo,PCS_1043_PR01_TH_P22_H5,PCS_1043,93.67,29.257,8.0,0.0
pozo,PCS_1043_PR01_TH_P22_H6,PCS_1043,94.49,28.253,5.0,0.0
pozo,PCS_1043_PR01_TH_P22_H7,PCS_1043,92.29,31.777,10.0,0.0
pozo,PCS_1043_PR01_TH_P22_H8,PCS_1043,87.79,31.694,16.0,0.0
pozo,PCS_1043_PR01_TH_P22_H9,PCS_1043,88.6,31.144,12.0,2.0
pozo,PCS_1043_PR01_TH_P23_H10,PCS_1043,90.74,30.023,11.0,2.0
pozo,PCS_1043_PR01_TH_P23_H11,PCS_1043,89.34,30.025,11.0,1.0
pozo,PCS_1043_PR01_TH_P23_H12,PCS_1043,92.3,28.255,7.0,1.0
pozo,PCS_1043_PR01_TH_P23_H13,PCS_1043,92.63,26.048,7.0,1.0
pozo,PCS_1043_PR01_TH_P23_H14,PCS_1043,88.23,18.569,8.0,5.0
pozo,PCS_1043_PR01_TH_P23_H15,PCS_1043,88.44,11.856,7.0,1.0
pozo,PCS_1043_PR01_TH_P23_H16,PCS_1043,88.0,7.858,5.0,0.0
pozo,PCS_1043_PR01_TH_P23_H1,PCS_1043,91.91,22.35,9.0,1.0
pozo,PCS_1043_PR01_TH_P23_H2,PCS_1043,92.8,25.321,8.0,0.0
pozo,PCS_1043_PR01_TH_P23_H3,PCS_1043,90.01,29.055,15.0,1.0
pozo,PCS_1043_PR01_TH_P23_H4,PCS_1043,90.59,29.065,11.0,1.0
pozo,PCS_1043_PR01_TH_P23_H5,PCS_1043,91.2,29.744,8.0,2.0
pozo,PCS_1043_PR01_TH_P23_H6,PCS_1043,89.48,28.26,9.0,1.0
pozo,PCS_1043_PR01_TH_P23_H7,PCS_1043,93.64,31.9,6.0,0.0
pozo,PCS_1043_PR01_TH_P23_H8,PCS_1043,89.56,31.834,13.0,2.0
pozo,PCS_1043_PR01_TH_P23_H9,PCS_1043,86.83,31.451,16.0,2.0
pozo,PCS_1043_PR01_TH_P24_H11,PCS_1043,90.59,30.659,11.0,0.0
pozo,PCS_1043_PR01_TH_P24_H12,PCS_1043,93.76,28.131,6.0,1.0
pozo,PCS_1043_PR01_TH_P24_H13,PCS_1043,87.32,25.954,10.0,1.0
pozo,PCS_1043_PR01_TH_P24_H14,PCS_1043,91.04,17.755,6.0,2.0
pozo,PCS_1043_PR01_TH_P24_H15,PCS_1043,93.84,11.42,4.0,0.0
pozo,PCS_1043_PR01_TH_P24_H1,PCS_1043,90.15,22.74,9.0,3.0
pozo,PCS_1043_PR01_TH_P24_H2,PCS_1043,88.24,25.078,8.0,3.0
pozo,PCS_1043_PR01_TH_P24_H3,PCS_1043,95.21,28.796,6.0,0.0
pozo,PCS_1043_PR01_TH_P24_H4,PCS_1043,92.06,28.148,7.0,2.0
