# modelo geológico informado por MWD.
# Bloque 2.5 m · IDW potencia 2 · anisotropía [1.0, 1.0, 3.0] · radio 7.5 m planta / 2.5 m cota.
# El yacimiento es estratiforme: la litología continúa lateralmente y cambia con la cota. Por eso la búsqueda es más larga en horizontal que en vertical. La cota entra acá como GEOMETRÍA de interpolación, nunca como variable predictora del modelo.
# Confianza = f_calidad × f_proximidad × f_soporte, los tres en [0, 1]. f_calidad es el inverso del pi_factor del atributo: incorpora la CALIDAD de la etiqueta, de modo que un dominio anclado en un ensayo del sitio y otro anclado en literatura no pueden salir con la misma confianza. f_proximidad decae con la distancia al dato más cercano. f_soporte crece con el número de muestras dentro del elipsoide.
# 35751 bloque(s) quedaron VACÍOS por no reunir 3 muestra(s) dentro del elipsoide de búsqueda (7.5 m en planta, 2.5 m en cota). No se interpolan desde más lejos: un bloque sin soporte es información, no un hueco a rellenar. El encajonado se calcula POR CASERÓN: un encajonado único sobre caserones separados por kilómetros contaría el aire entre ellos y volvería la cobertura una cifra sin significado.
# UCS acotado a los límites físicos [0.0, 450.0] MPa.
# bandas: Clasificación ISRM de resistencia de la roca intacta (Brown, 1981). Criterio trazable, no percentiles de la muestra.
# generado: 2026-08-26 10:39
x,y,z,tamano_m,caseron,ucs,di,confianza,banda,lito,calidad_etiqueta,n_muestras,dist_min_m,f_calidad,f_proximidad,f_soporte
377018.517,6958939.09,274.608,2.5,PCC_0042,132.44,0.5694,0.086,R5_muy_alta,,,1103,6.211,0.5,0.1719,1.0
377018.517,6958939.09,277.108,2.5,PCC_0042,132.44,0.3764,0.1155,R5_muy_alta,,,1942,5.767,0.5,0.2311,1.0
377018.517,6958939.09,279.608,2.5,PCC_0042,134.0,0.3706,0.1392,R5_muy_alta,,,2462,5.411,0.5,0.2785,1.0
377018.517,6958939.09,282.108,2.5,PCC_0042,137.53,0.3804,0.1751,R5_muy_alta,,,2965,4.874,0.5,0.3502,1.0
377018.517,6958939.09,284.608,2.5,PCC_0042,140.85,0.4123,0.1834,R5_muy_alta,,,3186,4.748,0.5,0.3669,1.0
377018.517,6958939.09,287.108,2.5,PCC_0042,141.11,0.4925,0.189,R5_muy_alta,,,3049,4.665,0.5,0.378,1.0
377018.517,6958939.09,289.608,2.5,PCC_0042,140.08,0.5837,0.1908,R5_muy_alta,,,2874,4.639,0.5,0.3815,1.0
377018.517,6958939.09,292.108,2.5,PCC_0042,140.06,0.7216,0.2009,R5_muy_alta,,,2810,4.487,0.5,0.4018,1.0
377018.517,6958939.09,294.608,2.5,PCC_0042,141.61,0.7818,0.2041,R5_muy_alta,,,2656,4.439,0.5,0.4082,1.0
377018.517,6958939.09,297.108,2.5,PCC_0042,141.49,0.7475,0.236,R5_muy_alta,Bht,1.0,2451,4.393,0.5698,0.4142,1.0
377018.517,6958939.09,299.608,2.5,PCC_0042,141.23,0.8233,0.2453,R5_muy_alta,Bht,1.0,2295,4.271,0.5698,0.4305,1.0
377018.517,6958939.09,302.108,2.5,PCC_0042,141.83,0.7335,0.2447,R5_muy_alta,Bht,1.0,2104,4.279,0.5698,0.4295,1.0
377018.517,6958939.09,304.608,2.5,PCC_0042,143.05,0.6639,0.2474,R5_muy_alta,Bht,1.0,2004,4.244,0.5698,0.4341,1.0
377018.517,6958939.09,307.108,2.5,PCC_0042,140.62,0.7789,0.2639,R5_muy_alta,Bht,1.0,1558,4.027,0.5698,0.4631,1.0
377018.517,6958939.09,309.608,2.5,PCC_0042,140.59,0.7046,0.2734,R5_muy_alta,Bht,1.0,555,3.901,0.5698,0.4799,1.0
377018.517,6958941.59,277.108,2.5,PCC_0042,133.85,0.5665,0.0026,R5_muy_alta,,,103,7.46,0.5,0.0053,1.0
377018.517,6958941.59,279.608,2.5,PCC_0042,138.41,0.4452,0.0332,R5_muy_alta,,,403,7.002,0.5,0.0663,1.0
377018.517,6958941.59,282.108,2.5,PCC_0042,141.02,0.454,0.0442,R5_muy_alta,,,806,6.836,0.5,0.0885,1.0
377018.517,6958941.59,284.608,2.5,PCC_0042,140.95,0.4795,0.0498,R5_muy_alta,,,1144,6.753,0.5,0.0996,1.0
377018.517,6958941.59,287.108,2.5,PCC_0042,140.15,0.5198,0.053,R5_muy_alta,,,1343,6.706,0.5,0.1059,1.0
377018.517,6958941.59,289.608,2.5,PCC_0042,138.71,0.5575,0.0614,R5_muy_alta,,,1471,6.579,0.5,0.1228,1.0
377018.517,6958941.59,292.108,2.5,PCC_0042,138.99,0.7231,0.0617,R5_muy_alta,,,1411,6.575,0.5,0.1233,1.0
377018.517,6958941.59,294.608,2.5,PCC_0042,140.38,0.8688,0.0695,R5_muy_alta,,,1391,6.458,0.5,0.139,1.0
377018.517,6958941.59,297.108,2.5,PCC_0042,139.82,0.8598,0.0816,R5_muy_alta,Bht,1.0,1491,6.426,0.5698,0.1432,1.0
377018.517,6958941.59,299.608,2.5,PCC_0042,140.5,0.8367,0.0917,R5_muy_alta,Bht,1.0,1583,6.293,0.5698,0.161,1.0
377018.517,6958941.59,302.108,2.5,PCC_0042,141.5,0.6856,0.1025,R5_muy_alta,Bht,1.0,1631,6.151,0.5698,0.1798,1.0
377018.517,6958941.59,304.608,2.5,PCC_0042,141.53,0.636,0.1097,R5_muy_alta,Bht,1.0,1540,6.056,0.5698,0.1926,1.0
377018.517,6958941.59,307.108,2.5,PCC_0042,139.12,0.802,0.1134,R5_muy_alta,Bht,1.0,1172,6.007,0.5698,0.199,1.0
377018.517,6958941.59,309.608,2.5,PCC_0042,139.21,0.7993,0.1131,R5_muy_alta,Bht,1.0,425,6.012,0.5698,0.1984,1.0
377021.017,6958879.09,274.608,2.5,PCC_0042,143.45,1.9635,0.0548,R5_muy_alta,Bht,1.0,61,6.779,0.5698,0.0961,1.0
377021.017,6958879.09,277.108,2.5,PCC_0042,139.69,1.1404,0.064,R5_muy_alta,Bht,1.0,183,6.658,0.5698,0.1123,1.0
377021.017,6958879.09,279.608,2.5,PCC_0042,132.86,0.5157,0.0651,R5_muy_alta,Bht,1.0,246,6.643,0.5698,0.1143,1.0
377021.017,6958879.09,282.108,2.5,PCC_0042,130.87,0.4051,0.0663,R5_muy_alta,Bht,1.0,247,6.627,0.5698,0.1164,1.0
377021.017,6958879.09,284.608,2.5,PCC_0042,130.28,0.4182,0.0675,R5_muy_alta,Bht,1.0,245,6.612,0.5698,0.1184,1.0
377021.017,6958879.09,287.108,2.5,PCC_0042,129.96,0.4215,0.0686,R5_muy_alta,Bht,1.0,245,6.597,0.5698,0.1204,1.0
377021.017,6958879.09,289.608,2.5,PCC_0042,129.97,0.4272,0.0698,R5_muy_alta,Bht,1.0,246,6.582,0.5698,0.1224,1.0
377021.017,6958879.09,292.108,2.5,PCC_0042,130.0,0.4377,0.0709,R5_muy_alta,Bht,1.0,247,6.567,0.5698,0.1245,1.0
377021.017,6958879.09,294.608,2.5,PCC_0042,130.15,0.4801,0.0721,R5_muy_alta,Bht,1.0,247,6.551,0.5698,0.1265,1.0
377021.017,6958879.09,297.108,2.5,PCC_0042,131.48,1.1906,0.0732,R5_muy_alta,Bht,1.0,234,6.536,0.5698,0.1285,1.0
377021.017,6958879.09,299.608,2.5,PCC_0042,133.26,2.1148,0.0649,R5_muy_alta,,,111,6.526,0.5,0.1298,1.0
377021.017,6958881.59,274.608,2.5,PCC_0042,138.87,1.8406,0.2373,R5_muy_alta,Bht,1.0,370,4.376,0.5698,0.4165,1.0
377021.017,6958881.59,277.108,2.5,PCC_0042,135.84,1.1623,0.2514,R5_muy_alta,Bht,1.0,1108,4.191,0.5698,0.4412,1.0
377021.017,6958881.59,279.608,2.5,PCC_0042,132.48,0.7281,0.2526,R5_muy_alta,Bht,1.0,1480,4.175,0.5698,0.4434,1.0
377021.017,6958881.59,282.108,2.5,PCC_0042,131.35,0.5116,0.2539,R5_muy_alta,Bht,1.0,1544,4.159,0.5698,0.4455,1.0
377021.017,6958881.59,284.608,2.5,PCC_0042,131.06,0.4935,0.2551,R5_muy_alta,Bht,1.0,1616,4.143,0.5698,0.4476,1.0
377021.017,6958881.59,287.108,2.5,PCC_0042,131.63,0.5385,0.2563,R5_muy_alta,Bht,1.0,1557,4.127,0.5698,0.4498,1.0
377021.017,6958881.59,289.608,2.5,PCC_0042,131.16,0.5832,0.2575,R5_muy_alta,Bht,1.0,1486,4.111,0.5698,0.4519,1.0
377021.017,6958881.59,292.108,2.5,PCC_0042,130.49,0.4879,0.2587,R5_muy_alta,Bht,1.0,1223,4.095,0.5698,0.454,1.0
377021.017,6958881.59,294.608,2.5,PCC_0042,130.41,0.5051,0.2599,R5_muy_alta,Bht,1.0,849,4.079,0.5698,0.4561,1.0
377021.017,6958881.59,297.108,2.5,PCC_0042,131.9,0.8932,0.2611,R5_muy_alta,Bht,1.0,724,4.063,0.5698,0.4582,1.0
377021.017,6958881.59,299.608,2.5,PCC_0042,134.65,1.1439,0.2297,R5_muy_alta,,,495,4.055,0.5,0.4594,1.0
377021.017,6958881.59,302.108,2.5,PCC_0042,141.5,0.6149,0.107,R5_muy_alta,,,200,5.894,0.5,0.2141,1.0
377021.017,6958881.59,304.608,2.5,PCC_0042,145.98,0.4097,0.0973,R5_muy_alta,,,60,6.04,0.5,0.1947,1.0
377021.017,6958884.09,274.608,2.5,PCC_0042,137.6,1.9118,0.4025,R5_muy_alta,Bht,1.0,772,2.203,0.5698,0.7063,1.0
377021.017,6958884.09,277.108,2.5,PCC_0042,136.14,1.0991,0.4319,R5_muy_alta,Bht,1.0,2020,1.816,0.5698,0.7579,1.0
377021.017,6958884.09,279.608,2.5,PCC_0042,132.58,0.6778,0.4332,R5_muy_alta,Bht,1.0,2614,1.798,0.5698,0.7603,1.0
377021.017,6958884.09,282.108,2.5,PCC_0042,131.73,0.4926,0.4346,R5_muy_alta,Bht,1.0,2733,1.78,0.5698,0.7627,1.0
377021.017,6958884.09,284.608,2.5,PCC_0042,131.31,0.4832,0.4359,R5_muy_alta,Bht,1.0,2696,1.762,0.5698,0.7651,1.0
377021.017,6958884.09,287.108,2.5,PCC_0042,131.74,0.5247,0.4373,R5_muy_alta,Bht,1.0,2570,1.744,0.5698,0.7675,1.0
377021.017,6958884.09,289.608,2.5,PCC_0042,131.26,0.5902,0.4387,R5_muy_alta,Bht,1.0,2374,1.726,0.5698,0.7699,1.0
377021.017,6958884.09,292.108,2.5,PCC_0042,131.02,0.4808,0.44,R5_muy_alta,Bht,1.0,2249,1.708,0.5698,0.7722,1.0
377021.017,6958884.09,294.608,2.5,PCC_0042,131.1,0.5145,0.4414,R5_muy_alta,Bht,1.0,2001,1.69,0.5698,0.7746,1.0
377021.017,6958884.09,297.108,2.5,PCC_0042,131.89,0.7378,0.4427,R5_muy_alta,Bht,1.0,1737,1.673,0.5698,0.777,1.0
377021.017,6958884.09,299.608,2.5,PCC_0042,134.16,0.9487,0.3886,R5_muy_alta,,,1251,1.67,0.5,0.7773,1.0
377021.017,6958884.09,302.108,2.5,PCC_0042,138.87,0.5557,0.2648,R5_muy_alta,,,624,3.528,0.5,0.5296,1.0
377021.017,6958884.09,304.608,2.5,PCC_0042,138.28,0.4165,0.249,R5_muy_alta,,,225,3.766,0.5,0.4979,1.0
377021.017,6958886.59,272.108,2.5,PCC_0042,131.92,7.6177,0.0748,R5_muy_alta,,,13,6.379,0.5,0.1495,1.0
377021.017,6958886.59,274.608,2.5,PCC_0042,136.66,1.8782,0.462,R5_muy_alta,Bht,1.0,1487,1.419,0.5698,0.8108,1.0
377021.017,6958886.59,277.108,2.5,PCC_0042,133.09,0.6915,0.5578,R5_muy_alta,Bht,1.0,3441,0.158,0.5698,0.9789,1.0
377021.017,6958886.59,279.608,2.5,PCC_0042,132.34,0.9764,0.552,R5_muy_alta,Bht,1.0,3830,0.234,0.5698,0.9688,1.0
377021.017,6958886.59,282.108,2.5,PCC_0042,131.57,0.4898,0.5435,R5_muy_alta,Bht,1.0,3727,0.346,0.5698,0.9539,1.0
377021.017,6958886.59,284.608,2.5,PCC_0042,130.99,0.5071,0.5342,R5_muy_alta,Bht,1.0,3618,0.468,0.5698,0.9376,1.0
377021.017,6958886.59,287.108,2.5,PCC_0042,131.75,0.5165,0.5246,R5_muy_alta,Bht,1.0,3393,0.595,0.5698,0.9207,1.0
377021.017,6958886.59,289.608,2.5,PCC_0042,131.31,0.6399,0.5148,R5_muy_alta,Bht,1.0,3235,0.723,0.5698,0.9035,1.0
377021.017,6958886.59,292.108,2.5,PCC_0042,131.06,0.4993,0.505,R5_muy_alta,Bht,1.0,3110,0.853,0.5698,0.8862,1.0
377021.017,6958886.59,294.608,2.5,PCC_0042,131.32,0.5259,0.4951,R5_muy_alta,Bht,1.0,2867,0.984,0.5698,0.8688,1.0
377021.017,6958886.59,297.108,2.5,PCC_0042,132.13,0.7728,0.4851,R5_muy_alta,Bht,1.0,2577,1.115,0.5698,0.8514,1.0
377021.017,6958886.59,299.608,2.5,PCC_0042,134.26,0.7912,0.4752,R5_muy_alta,Bht,1.0,1994,1.246,0.5698,0.8339,1.0
377021.017,6958886.59,302.108,2.5,PCC_0042,139.71,0.5859,0.3915,R5_muy_alta,,,1297,1.628,0.5,0.783,1.0
377021.017,6958886.59,304.608,2.5,PCC_0042,140.33,0.5266,0.3605,R5_muy_alta,,,612,2.093,0.5,0.721,1.0
377021.017,6958886.59,307.108,2.5,PCC_0042,151.33,0.4966,0.0539,R5_muy_alta,,,85,6.692,0.5,0.1078,1.0
377021.017,6958889.09,272.108,2.5,PCC_0042,136.7,6.7479,0.1495,R5_muy_alta,,,25,5.258,0.5,0.299,1.0
377021.017,6958889.09,274.608,2.5,PCC_0042,137.21,1.7607,0.4006,R5_muy_alta,Bht,1.0,2039,2.227,0.5698,0.7031,1.0
377021.017,6958889.09,277.108,2.5,PCC_0042,135.28,0.9494,0.4543,R5_muy_alta,Bht,1.0,4508,1.52,0.5698,0.7974,1.0
377021.017,6958889.09,279.608,2.5,PCC_0042,133.46,0.7274,0.4604,R5_muy_alta,Bht,1.0,4769,1.441,0.5698,0.8079,1.0
377021.017,6958889.09,282.108,2.5,PCC_0042,132.11,0.5114,0.4633,R5_muy_alta,Bht,1.0,4626,1.401,0.5698,0.8132,1.0
377021.017,6958889.09,284.608,2.5,PCC_0042,131.68,0.5103,0.463,R5_muy_alta,Bht,1.0,4464,1.405,0.5698,0.8126,1.0
377021.017,6958889.09,287.108,2.5,PCC_0042,133.64,0.5593,0.4595,R5_muy_alta,Bht,1.0,3876,1.452,0.5698,0.8064,1.0
377021.017,6958889.09,289.608,2.5,PCC_0042,132.13,0.6397,0.453,R5_muy_alta,Bht,1.0,3524,1.538,0.5698,0.795,1.0
377021.017,6958889.09,292.108,2.5,PCC_0042,131.64,0.5162,0.4439,R5_muy_alta,Bht,1.0,3522,1.657,0.5698,0.7791,1.0
377021.017,6958889.09,294.608,2.5,PCC_0042,131.91,0.5533,0.4329,R5_muy_alta,Bht,1.0,3362,1.802,0.5698,0.7598,1.0
377021.017,6958889.09,297.108,2.5,PCC_0042,132.42,0.6623,0.4309,R5_muy_alta,Bht,1.0,3072,1.829,0.5698,0.7562,1.0
377021.017,6958889.09,299.608,2.5,PCC_0042,134.13,0.6819,0.4333,R5_muy_alta,Bht,1.0,2431,1.796,0.5698,0.7605,1.0
377021.017,6958889.09,302.108,2.5,PCC_0042,139.34,0.6142,0.3458,R5_muy_alta,,,1594,2.313,0.5,0.6915,1.0
377021.017,6958889.09,304.608,2.5,PCC_0042,140.78,0.5436,0.3226,R5_muy_alta,,,719,2.661,0.5,0.6453,1.0
377021.017,6958889.09,307.108,2.5,PCC_0042,151.73,0.4952,0.1163,R5_muy_alta,,,85,5.756,0.5,0.2326,1.0
377021.017,6958891.59,272.108,2.5,PCC_0042,135.54,6.4878,0.1529,R5_muy_alta,,,34,5.206,0.5,0.3059,1.0
377021.017,6958891.59,274.608,2.5,PCC_0042,137.47,1.5406,0.2946,R5_muy_alta,Bht,1.0,2434,3.622,0.5698,0.5171,1.0
377021.017,6958891.59,277.108,2.5,PCC_0042,136.31,0.9216,0.3024,R5_muy_alta,Bht,1.0,5151,3.519,0.5698,0.5308,1.0
377021.017,6958891.59,279.608,2.5,PCC_0042,134.16,0.6529,0.3024,R5_muy_alta,Bht,1.0,5429,3.519,0.5698,0.5308,1.0
377021.017,6958891.59,282.108,2.5,PCC_0042,132.7,0.5726,0.3011,R5_muy_alta,Bht,1.0,5310,3.537,0.5698,0.5284,1.0
377021.017,6958891.59,284.608,2.5,PCC_0042,132.28,0.5462,0.3029,R5_muy_alta,Bht,1.0,5014,3.513,0.5698,0.5316,1.0
377021.017,6958891.59,287.108,2.5,PCC_0042,132.93,0.5741,0.3115,R5_muy_alta,Bht,1.0,4330,3.4,0.5698,0.5466,1.0
377021.017,6958891.59,289.608,2.5,PCC_0042,132.6,0.6479,0.3189,R5_muy_alta,Bht,1.0,3874,3.302,0.5698,0.5597,1.0
377021.017,6958891.59,292.108,2.5,PCC_0042,132.3,0.5486,0.3252,R5_muy_alta,Bht,1.0,3928,3.22,0.5698,0.5707,1.0
377021.017,6958891.59,294.608,2.5,PCC_0042,132.49,0.5602,0.3301,R5_muy_alta,Bht,1.0,3724,3.156,0.5698,0.5793,1.0
377021.017,6958891.59,297.108,2.5,PCC_0042,132.85,0.6206,0.3336,R5_muy_alta,Bht,1.0,3204,3.109,0.5698,0.5854,1.0
377021.017,6958891.59,299.608,2.5,PCC_0042,134.43,0.6921,0.3356,R5_muy_alta,Bht,1.0,2499,3.083,0.5698,0.589,1.0
377021.017,6958891.59,302.108,2.5,PCC_0042,138.5,0.6414,0.2505,R5_muy_alta,,,1775,3.743,0.5,0.501,1.0
377021.017,6958891.59,304.608,2.5,PCC_0042,139.81,0.6008,0.2264,R5_muy_alta,,,934,4.104,0.5,0.4528,1.0
377021.017,6958891.59,307.108,2.5,PCC_0042,142.57,0.5488,0.1228,R5_muy_alta,,,176,5.658,0.5,0.2456,1.0
377021.017,6958894.09,272.108,2.5,PCC_0042,137.23,6.6501,0.0834,R5_muy_alta,,,25,6.25,0.5,0.1667,1.0
377021.017,6958894.09,274.608,2.5,PCC_0042,135.84,1.4805,0.1407,R5_muy_alta,Bht,1.0,1750,5.648,0.5698,0.2469,1.0
377021.017,6958894.09,277.108,2.5,PCC_0042,134.96,0.938,0.1503,R5_muy_alta,Bht,1.0,3728,5.521,0.5698,0.2638,1.0
377021.017,6958894.09,279.608,2.5,PCC_0042,133.63,0.6492,0.1568,R5_muy_alta,Bht,1.0,4117,5.436,0.5698,0.2753,1.0
377021.017,6958894.09,282.108,2.5,PCC_0042,132.71,0.5992,0.1626,R5_muy_alta,Bht,1.0,4129,5.36,0.5698,0.2854,1.0
377021.017,6958894.09,284.608,2.5,PCC_0042,132.34,0.5678,0.1675,R5_muy_alta,Bht,1.0,3854,5.295,0.5698,0.294,1.0
377021.017,6958894.09,287.108,2.5,PCC_0042,132.89,0.5762,0.1716,R5_muy_alta,Bht,1.0,3464,5.241,0.5698,0.3012,1.0
377021.017,6958894.09,289.608,2.5,PCC_0042,132.87,0.6277,0.1749,R5_muy_alta,Bht,1.0,3141,5.198,0.5698,0.3069,1.0
377021.017,6958894.09,292.108,2.5,PCC_0042,132.77,0.5426,0.1772,R5_muy_alta,Bht,1.0,3030,5.167,0.5698,0.311,1.0
377021.017,6958894.09,294.608,2.5,PCC_0042,132.83,0.5497,0.1787,R5_muy_alta,Bht,1.0,2873,5.148,0.5698,0.3136,1.0
377021.017,6958894.09,297.108,2.5,PCC_0042,132.97,0.5981,0.1792,R5_muy_alta,Bht,1.0,2719,5.141,0.5698,0.3145,1.0
377021.017,6958894.09,299.608,2.5,PCC_0042,134.65,0.6693,0.1788,R5_muy_alta,Bht,1.0,2377,5.146,0.5698,0.3138,1.0
377021.017,6958894.09,302.108,2.5,PCC_0042,138.31,0.6578,0.1558,R5_muy_alta,,,1775,5.164,0.5,0.3115,1.0
377021.017,6958894.09,304.608,2.5,PCC_0042,140.07,0.6224,0.1416,R5_muy_alta,,,928,5.375,0.5,0.2833,1.0
377021.017,6958894.09,307.108,2.5,PCC_0042,141.98,0.5619,0.0636,R5_muy_alta,,,170,6.546,0.5,0.1272,1.0
377021.017,6958896.59,282.108,2.5,PCC_0042,130.65,0.4211,0.0,R5_muy_alta,Bht,1.0,79,7.658,0.5698,0.0,1.0
377021.017,6958896.59,284.608,2.5,PCC_0042,130.76,0.4299,0.0026,R5_muy_alta,Bht,1.0,326,7.466,0.5698,0.0046,1.0
377021.017,6958896.59,287.108,2.5,PCC_0042,132.13,0.5413,0.0103,R5_muy_alta,Bht,1.0,495,7.364,0.5698,0.0182,1.0
377021.017,6958896.59,289.608,2.5,PCC_0042,133.83,0.7462,0.0175,R5_muy_alta,Bht,1.0,497,7.269,0.5698,0.0308,1.0
377021.017,6958896.59,292.108,2.5,PCC_0042,132.93,0.6866,0.0242,R5_muy_alta,Bht,1.0,497,7.182,0.5698,0.0424,1.0
377021.017,6958896.59,294.608,2.5,PCC_0042,132.85,0.6369,0.0302,R5_muy_alta,Bht,1.0,392,7.102,0.5698,0.0531,1.0
377021.017,6958896.59,297.108,2.5,PCC_0042,132.42,0.6081,0.0357,R5_muy_alta,Bht,1.0,267,7.03,0.5698,0.0626,1.0
377021.017,6958896.59,299.608,2.5,PCC_0042,133.86,0.7323,0.0405,R5_muy_alta,Bht,1.0,247,6.967,0.5698,0.0711,1.0
377021.017,6958896.59,302.108,2.5,PCC_0042,136.51,0.5762,0.0392,R5_muy_alta,,,177,6.911,0.5,0.0785,1.0
377021.017,6958896.59,304.608,2.5,PCC_0042,141.12,0.4234,0.0304,R5_muy_alta,,,53,7.044,0.5,0.0608,1.0
377021.017,6958904.09,284.608,2.5,PCC_0042,135.01,0.6126,0.0,R5_muy_alta,,,36,7.737,0.5,0.0,1.0
377021.017,6958904.09,287.108,2.5,PCC_0042,138.18,0.5971,0.0226,R5_muy_alta,,,273,7.161,0.5,0.0453,1.0
377021.017,6958904.09,289.608,2.5,PCC_0042,138.26,0.6413,0.0323,R5_muy_alta,,,291,7.016,0.5,0.0646,1.0
377021.017,6958904.09,292.108,2.5,PCC_0042,134.49,0.5908,0.0231,R5_muy_alta,,,268,7.154,0.5,0.0461,1.0
377021.017,6958904.09,294.608,2.5,PCC_0042,136.64,0.451,0.0399,R5_muy_alta,,,399,6.902,0.5,0.0798,1.0
377021.017,6958904.09,297.108,2.5,PCC_0042,138.46,0.5219,0.0268,R5_muy_alta,,,570,7.098,0.5,0.0536,1.0
377021.017,6958904.09,299.608,2.5,PCC_0042,136.29,0.5851,0.0543,R5_muy_alta,,,827,6.686,0.5,0.1086,1.0
377021.017,6958904.09,302.108,2.5,PCC_0042,138.28,0.5905,0.0698,R5_muy_alta,,,703,6.453,0.5,0.1396,1.0
377021.017,6958904.09,304.608,2.5,PCC_0042,145.65,0.9026,0.0379,R5_muy_alta,,,673,6.932,0.5,0.0758,1.0
377021.017,6958904.09,307.108,2.5,PCC_0042,145.5,1.2175,0.0601,R5_muy_alta,,,812,6.599,0.5,0.1202,1.0
377021.017,6958904.09,309.608,2.5,PCC_0042,143.27,1.2867,0.0732,R5_muy_alta,,,400,6.402,0.5,0.1464,1.0
377021.017,6958906.59,279.608,2.5,PCC_0042,134.8,0.4096,0.0,R5_muy_alta,,,53,7.627,0.5,0.0,1.0
377021.017,6958906.59,282.108,2.5,PCC_0042,138.19,0.5492,0.0348,R5_muy_alta,,,396,6.978,0.5,0.0696,1.0
377021.017,6958906.59,284.608,2.5,PCC_0042,138.62,0.6045,0.0781,R5_muy_alta,,,1245,6.329,0.5,0.1562,1.0
377021.017,6958906.59,287.108,2.5,PCC_0042,139.35,0.5736,0.1309,R5_muy_alta,Bht,1.0,2279,5.776,0.5698,0.2298,1.0
377021.017,6958906.59,289.608,2.5,PCC_0042,139.5,0.6201,0.1345,R5_muy_alta,Bht,1.0,2542,5.73,0.5698,0.236,1.0
377021.017,6958906.59,292.108,2.5,PCC_0042,139.19,0.6296,0.1346,R5_muy_alta,Bht,1.0,2560,5.728,0.5698,0.2363,1.0
377021.017,6958906.59,294.608,2.5,PCC_0042,139.34,0.5211,0.1573,R5_muy_alta,Bht,1.0,2653,5.43,0.5698,0.276,1.0
377021.017,6958906.59,297.108,2.5,PCC_0042,138.76,0.5222,0.1321,R5_muy_alta,,,2622,5.518,0.5,0.2642,1.0
377021.017,6958906.59,299.608,2.5,PCC_0042,138.48,0.6118,0.1529,R5_muy_alta,,,2849,5.207,0.5,0.3057,1.0
377021.017,6958906.59,302.108,2.5,PCC_0042,139.86,0.6926,0.1574,R5_muy_alta,,,2539,5.139,0.5,0.3147,1.0
377021.017,6958906.59,304.608,2.5,PCC_0042,143.51,0.7467,0.1426,R5_muy_alta,,,2203,5.36,0.5,0.2853,1.0
377021.017,6958906.59,307.108,2.5,PCC_0042,144.6,0.9817,0.1596,R5_muy_alta,,,2191,5.106,0.5,0.3191,1.0
377021.017,6958906.59,309.608,2.5,PCC_0042,144.64,1.025,0.1653,R5_muy_alta,,,1053,5.02,0.5,0.3307,1.0
377021.017,6958906.59,312.108,2.5,PCC_0042,142.58,1.4332,0.018,R5_muy_alta,,,11,7.205,0.5,0.0393,0.9167
377021.017,6958909.09,274.608,2.5,PCC_0042,149.12,1.6738,0.0,R5_muy_alta,,,95,7.552,0.5,0.0,1.0
377021.017,6958909.09,277.108,2.5,PCC_0042,142.46,1.0013,0.0233,R5_muy_alta,,,487,7.151,0.5,0.0466,1.0
377021.017,6958909.09,279.608,2.5,PCC_0042,139.62,0.5775,0.0811,R5_muy_alta,,,1320,6.284,0.5,0.1622,1.0
377021.017,6958909.09,282.108,2.5,PCC_0042,138.19,0.5489,0.1224,R5_muy_alta,,,2280,5.664,0.5,0.2448,1.0
377021.017,6958909.09,284.608,2.5,PCC_0042,137.91,0.6102,0.1744,R5_muy_alta,,,3320,4.883,0.5,0.3489,1.0
377021.017,6958909.09,287.108,2.5,PCC_0042,138.34,0.5828,0.2425,R5_muy_alta,Bht,1.0,4129,4.308,0.5698,0.4256,1.0
377021.017,6958909.09,289.608,2.5,PCC_0042,138.04,0.5937,0.2692,R5_muy_alta,Bht,1.0,4160,3.956,0.5698,0.4725,1.0
377021.017,6958909.09,292.108,2.5,PCC_0042,138.07,0.6152,0.2459,R5_muy_alta,Bht,1.0,4156,4.263,0.5698,0.4316,1.0
377021.017,6958909.09,294.608,2.5,PCC_0042,138.75,0.5588,0.2854,R5_muy_alta,Bht,1.0,4189,3.743,0.5698,0.501,1.0
377021.017,6958909.09,297.108,2.5,PCC_0042,138.99,0.5728,0.2233,R5_muy_alta,,,4120,4.151,0.5,0.4466,1.0
377021.017,6958909.09,299.608,2.5,PCC_0042,139.32,0.6305,0.2504,R5_muy_alta,,,4265,3.743,0.5,0.5009,1.0
377021.017,6958909.09,302.108,2.5,PCC_0042,140.14,0.7023,0.2466,R5_muy_alta,,,3726,3.801,0.5,0.4931,1.0
377021.017,6958909.09,304.608,2.5,PCC_0042,142.96,0.7437,0.2376,R5_muy_alta,::PCC_0042:FChavito,,3326,3.936,0.5,0.4752,1.0
377021.017,6958909.09,307.108,2.5,PCC_0042,144.21,0.9875,0.2536,R5_muy_alta,::PCC_0042:FChavito,,3301,3.696,0.5,0.5071,1.0
377021.017,6958909.09,309.608,2.5,PCC_0042,144.78,1.0044,0.2471,R5_muy_alta,::PCC_0042:FChavito,,1535,3.793,0.5,0.4943,1.0
377021.017,6958909.09,312.108,2.5,PCC_0042,142.67,1.4816,0.1399,R5_muy_alta,,,11,5.211,0.5,0.3051,0.9167
377021.017,6958911.59,274.608,2.5,PCC_0042,140.43,1.827,0.0866,R5_muy_alta,,,366,6.201,0.5,0.1732,1.0
