# modelo geológico informado por MWD.
# Bloque 2.5 m · IDW potencia 2 · anisotropía [1.0, 1.0, 3.0] · radio 7.5 m planta / 2.5 m cota.
# El yacimiento es estratiforme: la litología continúa lateralmente y cambia con la cota. Por eso la búsqueda es más larga en horizontal que en vertical. La cota entra acá como GEOMETRÍA de interpolación, nunca como variable predictora del modelo.
# Confianza = f_calidad × f_proximidad × f_soporte, los tres en [0, 1]. f_calidad es el inverso del pi_factor del atributo: incorpora la CALIDAD de la etiqueta, de modo que un dominio anclado en un ensayo del sitio y otro anclado en literatura no pueden salir con la misma confianza. f_proximidad decae con la distancia al dato más cercano. f_soporte crece con el número de muestras dentro del elipsoide.
# 35751 bloque(s) quedaron VACÍOS por no reunir 3 muestra(s) dentro del elipsoide de búsqueda (7.5 m en planta, 2.5 m en cota). No se interpolan desde más lejos: un bloque sin soporte es información, no un hueco a rellenar. El encajonado se calcula POR CASERÓN: un encajonado único sobre caserones separados por kilómetros contaría el aire entre ellos y volvería la cobertura una cifra sin significado.
# UCS acotado a los límites físicos [0.0, 450.0] MPa.
# bandas: Clasificación ISRM de resistencia de la roca intacta (Brown, 1981). Criterio trazable, no percentiles de la muestra.
# generado: 2026-08-26 10:39
x,y,z,tamano_m,caseron,ucs,di,confianza,banda,lito,calidad_etiqueta,n_muestras,dist_min_m,f_calidad,f_proximidad,f_soporte
376986.017,6958911.59,284.608,2.5,PCC_0042,131.26,0.3402,0.0477,R5_muy_alta,::PCC_0042:FChavito,,238,6.784,0.5,0.0954,1.0
376986.017,6958911.59,287.108,2.5,PCC_0042,130.89,0.3584,0.0471,R5_muy_alta,::PCC_0042:FChavito,,238,6.793,0.5,0.0942,1.0
376986.017,6958911.59,289.608,2.5,PCC_0042,130.82,0.6187,0.0462,R5_muy_alta,::PCC_0042:FChavito,,237,6.807,0.5,0.0924,1.0
376986.017,6958911.59,292.108,2.5,PCC_0042,130.73,0.625,0.045,R5_muy_alta,::PCC_0042:FChavito,,238,6.825,0.5,0.09,1.0
376986.017,6958911.59,294.608,2.5,PCC_0042,130.41,0.3909,0.0435,R5_muy_alta,,,201,6.848,0.5,0.087,1.0
376986.017,6958911.59,297.108,2.5,PCC_0042,130.48,0.4165,0.0389,R5_muy_alta,,,81,6.916,0.5,0.0778,1.0
376986.017,6958914.09,274.608,2.5,PCC_0042,132.31,1.4438,0.1886,R5_muy_alta,Bht,1.0,256,5.018,0.5698,0.331,1.0
376986.017,6958914.09,277.108,2.5,PCC_0042,133.32,1.0163,0.1956,R5_muy_alta,Bht,1.0,622,4.926,0.5698,0.3432,1.0
376986.017,6958914.09,279.608,2.5,PCC_0042,133.21,0.6195,0.192,R5_muy_alta,Bht,1.0,731,4.972,0.5698,0.337,1.0
376986.017,6958914.09,282.108,2.5,PCC_0042,133.09,0.4183,0.1881,R5_muy_alta,Bht,1.0,729,5.025,0.5698,0.3301,1.0
376986.017,6958914.09,284.608,2.5,PCC_0042,133.6,0.4535,0.1612,R5_muy_alta,::PCC_0042:FChavito,,729,5.082,0.5,0.3224,1.0
376986.017,6958914.09,287.108,2.5,PCC_0042,132.73,0.5312,0.157,R5_muy_alta,::PCC_0042:FChavito,,731,5.145,0.5,0.314,1.0
376986.017,6958914.09,289.608,2.5,PCC_0042,132.07,0.6263,0.1525,R5_muy_alta,::PCC_0042:FChavito,,730,5.213,0.5,0.3049,1.0
376986.017,6958914.09,292.108,2.5,PCC_0042,131.03,0.6357,0.1476,R5_muy_alta,::PCC_0042:FChavito,,729,5.286,0.5,0.2952,1.0
376986.017,6958914.09,294.608,2.5,PCC_0042,131.02,0.6307,0.1425,R5_muy_alta,,,530,5.363,0.5,0.2849,1.0
376986.017,6958914.09,297.108,2.5,PCC_0042,131.02,0.5298,0.1344,R5_muy_alta,,,165,5.484,0.5,0.2688,1.0
376986.017,6958916.59,274.608,2.5,PCC_0042,132.35,1.5139,0.2694,R5_muy_alta,Bht,1.0,256,3.954,0.5698,0.4727,1.0
376986.017,6958916.59,277.108,2.5,PCC_0042,133.29,1.0116,0.2756,R5_muy_alta,Bht,1.0,622,3.872,0.5698,0.4837,1.0
376986.017,6958916.59,279.608,2.5,PCC_0042,133.19,0.6154,0.2662,R5_muy_alta,Bht,1.0,731,3.996,0.5698,0.4671,1.0
376986.017,6958916.59,282.108,2.5,PCC_0042,133.11,0.417,0.2565,R5_muy_alta,Bht,1.0,729,4.124,0.5698,0.4501,1.0
376986.017,6958916.59,284.608,2.5,PCC_0042,133.67,0.4564,0.2163,R5_muy_alta,::PCC_0042:FChavito,,729,4.255,0.5,0.4326,1.0
376986.017,6958916.59,287.108,2.5,PCC_0042,132.7,0.5339,0.2074,R5_muy_alta,::PCC_0042:FChavito,,731,4.39,0.5,0.4147,1.0
376986.017,6958916.59,289.608,2.5,PCC_0042,132.14,0.6253,0.1982,R5_muy_alta,::PCC_0042:FChavito,,730,4.527,0.5,0.3965,1.0
376986.017,6958916.59,292.108,2.5,PCC_0042,131.03,0.6314,0.1889,R5_muy_alta,::PCC_0042:FChavito,,729,4.666,0.5,0.3779,1.0
376986.017,6958916.59,294.608,2.5,PCC_0042,131.04,0.6439,0.1795,R5_muy_alta,,,530,4.808,0.5,0.359,1.0
376986.017,6958916.59,297.108,2.5,PCC_0042,131.04,0.5323,0.1679,R5_muy_alta,,,165,4.982,0.5,0.3358,1.0
376986.017,6958919.09,274.608,2.5,PCC_0042,132.24,1.4928,0.2422,R5_muy_alta,Bht,1.0,256,4.313,0.5698,0.425,1.0
376986.017,6958919.09,277.108,2.5,PCC_0042,133.36,1.0089,0.2457,R5_muy_alta,Bht,1.0,622,4.266,0.5698,0.4311,1.0
376986.017,6958919.09,279.608,2.5,PCC_0042,133.33,0.6184,0.2326,R5_muy_alta,Bht,1.0,731,4.438,0.5698,0.4083,1.0
376986.017,6958919.09,282.108,2.5,PCC_0042,133.28,0.4238,0.2196,R5_muy_alta,Bht,1.0,729,4.61,0.5698,0.3853,1.0
376986.017,6958919.09,284.608,2.5,PCC_0042,133.83,0.4636,0.1812,R5_muy_alta,::PCC_0042:FChavito,,729,4.782,0.5,0.3624,1.0
376986.017,6958919.09,287.108,2.5,PCC_0042,132.83,0.5464,0.1697,R5_muy_alta,::PCC_0042:FChavito,,731,4.954,0.5,0.3394,1.0
376986.017,6958919.09,289.608,2.5,PCC_0042,132.23,0.6282,0.1582,R5_muy_alta,::PCC_0042:FChavito,,730,5.127,0.5,0.3164,1.0
376986.017,6958919.09,292.108,2.5,PCC_0042,131.05,0.6304,0.1467,R5_muy_alta,::PCC_0042:FChavito,,729,5.299,0.5,0.2934,1.0
376986.017,6958919.09,294.608,2.5,PCC_0042,131.09,0.6616,0.1352,R5_muy_alta,,,530,5.472,0.5,0.2704,1.0
376986.017,6958919.09,297.108,2.5,PCC_0042,131.08,0.541,0.1225,R5_muy_alta,,,165,5.662,0.5,0.245,1.0
376986.017,6958921.59,274.608,2.5,PCC_0042,133.52,1.6058,0.1449,R5_muy_alta,Bht,1.0,307,5.592,0.5698,0.2544,1.0
376986.017,6958921.59,277.108,2.5,PCC_0042,133.74,1.067,0.1382,R5_muy_alta,Bht,1.0,673,5.681,0.5698,0.2425,1.0
376986.017,6958921.59,279.608,2.5,PCC_0042,133.48,0.6268,0.1249,R5_muy_alta,Bht,1.0,731,5.856,0.5698,0.2193,1.0
376986.017,6958921.59,282.108,2.5,PCC_0042,133.42,0.4308,0.1117,R5_muy_alta,Bht,1.0,729,6.03,0.5698,0.196,1.0
376986.017,6958921.59,284.608,2.5,PCC_0042,133.93,0.468,0.0864,R5_muy_alta,::PCC_0042:FChavito,,729,6.204,0.5,0.1728,1.0
376986.017,6958921.59,287.108,2.5,PCC_0042,132.98,0.556,0.0748,R5_muy_alta,::PCC_0042:FChavito,,731,6.379,0.5,0.1495,1.0
376986.017,6958921.59,289.608,2.5,PCC_0042,132.26,0.6305,0.0631,R5_muy_alta,::PCC_0042:FChavito,,730,6.553,0.5,0.1263,1.0
376986.017,6958921.59,292.108,2.5,PCC_0042,131.07,0.6348,0.0515,R5_muy_alta,::PCC_0042:FChavito,,729,6.727,0.5,0.103,1.0
376986.017,6958921.59,294.608,2.5,PCC_0042,131.12,0.6678,0.0399,R5_muy_alta,,,530,6.902,0.5,0.0798,1.0
376986.017,6958921.59,297.108,2.5,PCC_0042,131.11,0.5498,0.0217,R5_muy_alta,,,165,7.174,0.5,0.0434,1.0
376986.017,6958924.09,274.608,2.5,PCC_0042,131.27,1.1736,0.0129,R5_muy_alta,Bht,1.0,188,7.331,0.5698,0.0226,1.0
376986.017,6958924.09,277.108,2.5,PCC_0042,133.36,1.0598,0.0061,R5_muy_alta,Bht,1.0,281,7.419,0.5698,0.0108,1.0
376986.017,6958924.09,279.608,2.5,PCC_0042,137.64,1.0794,0.0,R5_muy_alta,Bht,1.0,93,7.66,0.5698,0.0,1.0
376988.517,6958904.09,269.608,2.5,PCC_0042,141.6,0.8047,0.0086,R5_muy_alta,Bht,1.0,35,7.387,0.5698,0.015,1.0
376988.517,6958904.09,272.108,2.5,PCC_0042,144.53,0.6587,0.012,R5_muy_alta,Bht,1.0,102,7.343,0.5698,0.021,1.0
376988.517,6958904.09,274.608,2.5,PCC_0042,145.21,0.6145,0.0,R5_muy_alta,Bht,1.0,67,7.655,0.5698,0.0,1.0
376988.517,6958906.59,269.608,2.5,PCC_0042,140.4,0.6814,0.1264,R5_muy_alta,Bht,1.0,187,5.836,0.5698,0.2219,1.0
376988.517,6958906.59,272.108,2.5,PCC_0042,141.63,0.7119,0.1343,R5_muy_alta,Bht,1.0,421,5.732,0.5698,0.2357,1.0
376988.517,6958906.59,274.608,2.5,PCC_0042,142.4,1.0777,0.1025,R5_muy_alta,Bht,1.0,303,6.151,0.5698,0.1799,1.0
376988.517,6958906.59,277.108,2.5,PCC_0042,141.57,2.1189,0.0275,R5_muy_alta,Bht,1.0,69,7.138,0.5698,0.0482,1.0
376988.517,6958909.09,269.608,2.5,PCC_0042,141.21,0.7011,0.1821,R5_muy_alta,Bht,1.0,172,5.103,0.5698,0.3195,1.0
376988.517,6958909.09,272.108,2.5,PCC_0042,142.23,0.712,0.1985,R5_muy_alta,Bht,1.0,383,4.887,0.5698,0.3484,1.0
376988.517,6958909.09,274.608,2.5,PCC_0042,142.22,1.049,0.1617,R5_muy_alta,Bht,1.0,274,5.372,0.5698,0.2837,1.0
376988.517,6958909.09,277.108,2.5,PCC_0042,141.43,2.1849,0.0292,R5_muy_alta,Bht,1.0,63,7.115,0.5698,0.0513,1.0
376988.517,6958911.59,269.608,2.5,PCC_0042,142.85,0.7526,0.15,R5_muy_alta,Bht,1.0,103,5.526,0.5698,0.2633,1.0
376988.517,6958911.59,272.108,2.5,PCC_0042,145.97,0.7278,0.1721,R5_muy_alta,Bht,1.0,222,5.235,0.5698,0.302,1.0
376988.517,6958911.59,274.608,2.5,PCC_0042,136.06,1.2157,0.1375,R5_muy_alta,Bht,1.0,375,5.691,0.5698,0.2413,1.0
376988.517,6958911.59,277.108,2.5,PCC_0042,133.35,1.0153,0.1328,R5_muy_alta,Bht,1.0,622,5.752,0.5698,0.233,1.0
376988.517,6958911.59,279.608,2.5,PCC_0042,133.25,0.6215,0.1378,R5_muy_alta,Bht,1.0,731,5.686,0.5698,0.2419,1.0
376988.517,6958911.59,282.108,2.5,PCC_0042,133.13,0.4204,0.1425,R5_muy_alta,Bht,1.0,729,5.625,0.5698,0.25,1.0
376988.517,6958911.59,284.608,2.5,PCC_0042,133.6,0.4538,0.1288,R5_muy_alta,::PCC_0042:FChavito,,729,5.568,0.5,0.2576,1.0
376988.517,6958911.59,287.108,2.5,PCC_0042,132.75,0.5327,0.1323,R5_muy_alta,::PCC_0042:FChavito,,731,5.516,0.5,0.2645,1.0
376988.517,6958911.59,289.608,2.5,PCC_0042,132.05,0.6271,0.1354,R5_muy_alta,::PCC_0042:FChavito,,730,5.47,0.5,0.2707,1.0
376988.517,6958911.59,292.108,2.5,PCC_0042,131.03,0.6361,0.1381,R5_muy_alta,::PCC_0042:FChavito,,729,5.428,0.5,0.2762,1.0
376988.517,6958911.59,294.608,2.5,PCC_0042,131.02,0.6273,0.1405,R5_muy_alta,,,530,5.392,0.5,0.2811,1.0
376988.517,6958911.59,297.108,2.5,PCC_0042,131.01,0.5282,0.1376,R5_muy_alta,,,165,5.436,0.5,0.2752,1.0
376988.517,6958914.09,269.608,2.5,PCC_0042,141.21,0.7634,0.0461,R5_muy_alta,Bht,1.0,32,6.893,0.5698,0.0809,1.0
376988.517,6958914.09,272.108,2.5,PCC_0042,148.96,0.7202,0.0691,R5_muy_alta,Bht,1.0,79,6.59,0.5698,0.1213,1.0
376988.517,6958914.09,274.608,2.5,PCC_0042,133.79,1.48,0.2993,R5_muy_alta,Bht,1.0,303,3.561,0.5698,0.5253,1.0
376988.517,6958914.09,277.108,2.5,PCC_0042,133.24,1.0092,0.3137,R5_muy_alta,Bht,1.0,622,3.372,0.5698,0.5505,1.0
376988.517,6958914.09,279.608,2.5,PCC_0042,133.07,0.6101,0.3164,R5_muy_alta,Bht,1.0,731,3.336,0.5698,0.5552,1.0
376988.517,6958914.09,282.108,2.5,PCC_0042,132.95,0.4095,0.3184,R5_muy_alta,Bht,1.0,729,3.309,0.5698,0.5588,1.0
376988.517,6958914.09,284.608,2.5,PCC_0042,133.54,0.4501,0.2806,R5_muy_alta,::PCC_0042:FChavito,,729,3.291,0.5,0.5611,1.0
376988.517,6958914.09,287.108,2.5,PCC_0042,132.51,0.5194,0.2811,R5_muy_alta,::PCC_0042:FChavito,,731,3.283,0.5,0.5623,1.0
376988.517,6958914.09,289.608,2.5,PCC_0042,132.04,0.6176,0.2811,R5_muy_alta,::PCC_0042:FChavito,,730,3.284,0.5,0.5622,1.0
376988.517,6958914.09,292.108,2.5,PCC_0042,131.0,0.6281,0.2804,R5_muy_alta,::PCC_0042:FChavito,,729,3.294,0.5,0.5609,1.0
376988.517,6958914.09,294.608,2.5,PCC_0042,130.98,0.6252,0.2792,R5_muy_alta,,,530,3.313,0.5,0.5583,1.0
376988.517,6958914.09,297.108,2.5,PCC_0042,130.99,0.5206,0.2711,R5_muy_alta,,,165,3.434,0.5,0.5422,1.0
376988.517,6958916.59,274.608,2.5,PCC_0042,133.23,1.8044,0.4352,R5_muy_alta,Bht,1.0,366,1.771,0.5698,0.7638,1.0
376988.517,6958916.59,277.108,2.5,PCC_0042,132.9,1.0068,0.459,R5_muy_alta,Bht,1.0,861,1.458,0.5698,0.8056,1.0
376988.517,6958916.59,279.608,2.5,PCC_0042,132.6,0.6034,0.452,R5_muy_alta,Bht,1.0,990,1.551,0.5698,0.7933,1.0
376988.517,6958916.59,282.108,2.5,PCC_0042,132.56,0.3872,0.444,R5_muy_alta,Bht,1.0,989,1.656,0.5698,0.7792,1.0
376988.517,6958916.59,284.608,2.5,PCC_0042,133.29,0.435,0.3818,R5_muy_alta,::PCC_0042:FChavito,,990,1.773,0.5,0.7636,1.0
376988.517,6958916.59,287.108,2.5,PCC_0042,132.14,0.4933,0.3734,R5_muy_alta,::PCC_0042:FChavito,,992,1.899,0.5,0.7469,1.0
376988.517,6958916.59,289.608,2.5,PCC_0042,131.94,0.5793,0.3646,R5_muy_alta,::PCC_0042:FChavito,,990,2.031,0.5,0.7292,1.0
376988.517,6958916.59,292.108,2.5,PCC_0042,130.97,0.5958,0.3553,R5_muy_alta,::PCC_0042:FChavito,,988,2.17,0.5,0.7107,1.0
376988.517,6958916.59,294.608,2.5,PCC_0042,130.94,0.6176,0.3458,R5_muy_alta,::PCC_0042:FChavito,,790,2.313,0.5,0.6915,1.0
